s,E,N,kappa_c,nx,ny
1122.3837757429887,545500.4322706391,2819340.6962089785,0.0034412410888564394,0.5887888281780321,0.8082869019183347
1126.5058089204074,545503.4814568704,2819337.922471276,0.00162751184834463,0.6547514782301875,0.7558442311451375
1134.3047328419145,545510.1924506832,2819333.949339466,-0.002761544297459944,0.4575114373755594,0.8892037363116226
1140.0358681667533,545515.1278223977,2819331.0359191136,0.006183000025794816,0.5708028030763195,0.8210871817293317
1145.5198198990158,545519.557825777,2819327.8034592667,0.00612505208314149,0.5566182399190223,0.8307684003315544
1151.725518502853,545524.8599068334,2819324.5787683306,0.008943452923336087,0.5441353740295707,0.8389974342807605
1156.9277063814202,545529.344629941,2819321.9424797706,0.0023960067756727756,0.346793709492,0.9379414283721442
1163.7665407525246,545536.0074108487,2819320.4007255323,0.0062059471390546695,0.3706243434032574,0.9287828573336742
1169.7323636797787,545541.1359739967,2819317.352958606,-0.00882830073032346,0.45495756292875095,0.890513119461994
1175.5514769647148,545546.5477928071,2819315.2141980804,0.003771740810590069,0.4443899713410673,0.8958334406414428
1181.827895693841,545551.7664875196,2819311.727271416,-0.00914440255689572,0.5316603993920364,0.8469576256922776
1188.1954836650807,545557.5201704128,2819308.999395001,0.00029544448573898675,0.3849999150828403,0.9229166080346618
1193.7682074999498,545562.5202473202,2819306.538809327,-0.006707084270187405,0.5340133492002656,0.8454760451224596
1197.3741112415573,545565.4691409719,2819304.4635821045,-0.007627176841867191,0.5780251368685304,0.816018958816593
1207.6580416667014,545574.4349735532,2819299.4264131463,0.0025781160712642012,0.413981278309012,0.9102853954720115
1214.9414535561025,545581.0975058518,2819296.4838373833,0.0025298729630732816,0.4267609558298006,0.9043644655664191
1222.9344360193224,545588.3342907892,2819293.0902091735,0.005732467382700336,0.35845923759715986,0.9335453791762149
1229.378295116931,545594.4225160874,2819290.9790879576,-0.0010501265766672454,0.3727309417518179,0.927939461959024
1235.6502854368916,545600.1566929527,2819288.4380097906,0.009875251280072375,0.3539176638305188,0.9352765832783091
1241.2703074759454,545605.5203867389,2819286.760083485,-0.004158361993298177,0.3115562942809765,0.9502276966569148
1250.2926290431951,545613.8907261698,2819283.392635746,0.009762409387508149,0.36717157490590857,0.9301532317748052
1258.557602258221,545621.7780063302,2819280.922697707,0.003812200967026757,0.22816813392105903,0.9736217451674863
1265.689573019865,545628.7693736665,2819279.5135171954,-0.001077004728881263,0.19905169735640363,0.9799889906420044
1271.682421481486,545634.571651068,2819278.0142474934,0.004708052390011881,0.3234035054562387,0.9462611545755308
1276.314644882272,545638.9250293416,2819276.4313415447,0.0022805966790716637,0.30500850476930375,0.9523496269849606
1284.3842843619066,545646.886022182,2819275.1116164494,0.001235464592865453,0.041777353389340015,0.9991269452596013
1290.7476407301417,545653.2430632536,2819274.828185536,0.0017930275678302153,0.13064999629475524,0.9914285543942036
1298.207939693033,545660.529144067,2819273.225348365,0.002535438933111972,0.1874698884689043,0.9822703502180328
1303.6783713077675,545665.974015598,2819272.6971475864,0.005724440193911675,0.016652585617822308,0.9998613360822795
1309.6301887765546,545671.9220845294,2819272.485943495,0.0003761352844349788,0.1484299368783081,0.9889229261364615
1314.3392052986617,545676.5179067542,2819271.459661524,0.0032698793398124914,0.19574893858039163,0.980654043505991
1320.1887165460626,545682.340449901,2819270.8986150576,0.0032697776374732562,0.038191849601293563,0.9992704251723015
1327.0248187627903,545689.1694513974,2819270.5871153316,-0.0052942160477875335,0.0781310303210055,0.9969430987277951
1332.8730947440538,545694.9945941959,2819270.0674583963,-0.002751049328283576,0.061021879785986353,0.998136428644594
1339.865428541342,545701.9854954858,2819269.925927175,0.0015802008836147499,0.018245464485951067,0.9998335376579902
1345.0662579287218,545707.1829199311,2819269.73776381,-0.0007017442107877868,0.044667112462656075,0.9990019264567254
1348.7313368131918,545710.8395160468,2819269.48854889,8.496173863607826e-05,0.1153200625898107,0.9933283863679131
1354.4303501966167,545716.4642142882,2819268.571203133,0.0024330618032093517,0.1419496632493909,0.9898738773719531
1361.1502235754042,545723.1652654666,2819268.068598585,-0.014532259896703863,0.03949655099856831,0.9992197068008705
1367.7216144115578,545729.728573245,2819267.742763463,0.016230916488097304,0.0730396414736578,0.9973290383686817
1373.887512122366,545735.87128354,2819267.2085305443,0.0040682770978735915,0.07936700155841622,0.9968454639830722
1379.6001111966511,545741.5817745794,2819267.0533523457,-0.008983284244104415,-0.05141810093662745,0.9986772145673851
1385.1028305550496,545747.0729521709,2819267.409567163,-0.00825994968682179,0.009821274535766707,0.9999517701201859
1388.8719982951632,545750.8318495072,2819267.1315091327,-0.011900276776413468,0.09035626053567183,0.9959095070246141
1397.866388519368,545759.8114015583,2819266.6150786285,-0.010385878556915652,0.06391149563568843,0.9979555705168489
1403.657434467573,545765.5641699418,2819265.950346276,-0.009358718059189959,0.1859221172360082,0.9825644845619447
1410.5806949399573,545772.3391271705,2819264.5250427583,-0.006903133269930591,0.13495868739289327,0.9908512263186574
1417.082980282402,545778.8401186299,2819264.39533262,0.004870812016185059,-0.042235203875669015,0.9991076956732846
1424.012427985742,545785.5925373194,2819262.8390269578,0.00404746094399324,0.7883049080426497,0.61528478930969
1424.2577198234987,545785.7416510911,2819262.644262565,0.010541735137330525,0.7835278576381602,0.6213566578905829
